internalTaxonId,scientificName,name,language,main
87561650,Leptodontium gemmascens,Thatch-moss,English,false
87561650,Leptodontium gemmascens,Brut-Dünnzahnmoos,German,false
87561650,Leptodontium gemmascens,Thatch Moss,English,true
87562368,Pottiopsis caespitosa,Rasiges Neupottmoos,German,false
87562368,Pottiopsis caespitosa,Round-fruited Pottia,English,true
87562698,Scopelophila cataractae,Kleines Kupfermoos,German,false
87562698,Scopelophila cataractae,Tongue-leaf Copper-moss,English,true
87566901,Weissia sterilis,Sterile Beardless-moss,English,true
84374494,Campylostelium saxicola,Fels-Schwanenhalsmoos,German,false
84374494,Campylostelium saxicola,Bent-moss,English,true
87544389,Radula voluta,Pale Scalewort,English,true
87470370,Anastrophyllum alpinum,Alpine Notchwort,English,true
87470516,Anastrophyllum joergensenii,Joergensen's Notchwort,English,true
87525045,Scapania nimbosa,Cloud Earwort,English,true
87525332,Scapania ornithopodioides,Bird's-foot Earwort,English,true
86200201,Platyhypnum molle,Soft Brook-moss,English,true
86200234,Hygrohypnum styriacum,Snow Brook-moss,English,true
83659784,Andreaea blyttii,Blytt's Rock-moss,English,true
83659401,Andreaea nivalis,Snow Rock-moss,English,true
87538842,Aneura mirabilis,Ghostwort,English,true
86483667,Tomentypnum nitens,Woolly Feather-moss,English,true
83662922,Bryum salinum,Saltmarsh Thread-moss,English,true
87492340,Odontoschisma francisci,Holt Notchwort,English,true
87492675,Cephaloziella elachista,Spurred Threadwort,English,true
87492810,Cephaloziella integerrima,Lobed Threadwort,English,true
87492834,Cephaloziella massalongi,Lesser Copperwort,English,true
87492891,Cephaloziella spinigera,Spiny Threadwort,English,true
87496729,Marsupella arctica,Arctic Rustwort,English,true
87496859,Marsupella sparsifolia,Rounded Rustwort,English,true
78604176,Eremonotus myriocarpus,Clubwort,English,true
84534918,Pohlia crudoides,Lapland Thread-moss,English,true
87540974,Moerckia blyttii,Alpine Ruffwort,English,true
87541025,Moerckia hibernica,Irish Ruffwort,English,true
87539070,Oedipodium griffithianum,Gouty-moss,English,true
87562757,Stegonia latifolia,Hood-leaved Screw-moss,English,true
87564101,Tortula cernua,Flamingo-moss,English,true
87566853,Weissia rostellata,Beaked Beardless-moss,English,true
87566879,Weissia squarrosa,Spreading-leaved Beardless-moss,English,true
84829847,Cynodontium fallax,False Dog-tooth,English,true
87470477,Anastrophyllum donnianum,Donn's Notchwort,English,true
87576092,Scorpidium scorpioides,Hooked Scorpion-moss,English,true
85849925,Blindiadelphus campylopodus,Bentfoot Rock-bristle,English,true
85850045,Seligeria carniolica,Water Rock-bristle,English,true
85850106,Blindiadelphus diversifolius,Long Rock-bristle,English,true
85850373,Seligeria oelandica,Irish Rock-bristle,English,true
87570876,Tayloria tenuis,Slender Gland-moss,English,true
88278428,Drepanocladus lycopodioides,Bärlappähnliches Pseudoschönmoos,German,false
88278428,Drepanocladus lycopodioides,Large Hook-moss,English,true
88281064,Chionoloma recurvifolium,Drooping-leaved Beard-moss,English,true
88282783,Scapania degenii,Degen's Earwort,English,true
88288896,Sphagnum austinii,Austin's Bog-moss,English,true
88289145,Scapania parvifolia,Obscure Earwort,English,true
97007437,Sorbus avonensis,Avon Gorge Whitebeam,English,true
97154635,Sorbus arvonicola,Cerddin Menai,Welsh,false
97154635,Sorbus arvonicola,Menai Strait Whitebeam,English,true
97209900,Sorbus saxicola,Symonds Yat Whitebeam,English,true
21860,Thunnus thynnus,Atún Aleta Azul,Spanish; Castilian,false
21860,Thunnus thynnus,Kuromaguro,Japanese,false
21860,Thunnus thynnus,Thon Rouge de l'Atlantique,French,false
21860,Thunnus thynnus,Atlantic Bluefin Tuna,English,true
102827479,Cotoneaster cambricus,Rock Apple,English,false
102827479,Cotoneaster cambricus,Creigafal y Gogarth,Welsh,false
102827479,Cotoneaster cambricus,Great Orme Berry,English,true
39399,Raja clavata,Nagelrochen,German,false
39399,Raja clavata,Piggrokke,Norwegian,false
39399,Raja clavata,Raia lenga,Portuguese,false
39399,Raja clavata,Raie bouclée,French,false
39399,Raja clavata,Raja petrusa,Italian,false
39399,Raja clavata,Raya común,Spanish; Castilian,false
39399,Raja clavata,Stekelrog,Dutch; Flemish,false
39399,Raja clavata,Thornback Skate,English,true
39332,Squatina squatina,Angel Shark,English,false
39332,Squatina squatina,Fiddle fish,English,false
39332,Squatina squatina,Monkfish,English,false
39332,Squatina squatina,Agnulu,Corsican,false
39332,Squatina squatina,Aingueru-guardakoa,Basque,false
39332,Squatina squatina,Ange,French,false
39332,Squatina squatina,Ange De Mer,French,false
39332,Squatina squatina,Ange de Mer Commun,French,false
39332,Squatina squatina,Angel,French,false
39332,Squatina squatina,Angel,Catalan; Valencian,false
39332,Squatina squatina,Angela,Italian,false
39332,Squatina squatina,Angelo,Italian,false
39332,Squatina squatina,Angelote,Spanish; Castilian,false
39332,Squatina squatina,Angelu,Italian,false
39332,Squatina squatina,Anjo,Portuguese,false
39332,Squatina squatina,Antjou,French,false
39332,Squatina squatina,Bourgeois,French,false
39332,Squatina squatina,Bourget,French,false
39332,Squatina squatina,Engelhai,German,false
39332,Squatina squatina,Escat,Catalan; Valencian,false
39332,Squatina squatina,Keler,Turkish,false
39332,Squatina squatina,Keler Balığının,Turkish,false
39332,Squatina squatina,L'anelot,French,false
39332,Squatina squatina,L'ange,French,false
39332,Squatina squatina,Maegli,Welsh,false
